<Z>;<program>;End;PROGRAM;IDENTIFIER;SEMICOLON;<block>;DOT;<var_decl>;VAR;<decl_list>;<decl>;BEGIN;<stmt_list>;END;<stmt>;<assign>;<if_stmt>;<while_stmt>;<io>;<out>;<ident_list>;COLON;<type>;TYPE;EQ;INT;REAL;CHAR;ARRAY;LEFT_BRACKET;INTEGER;RIGHT_BRACKET;OF;COMMA;<full_id>;ASSIGN;<expr>;IF;<cond>;THEN;ELSE;WHILE;PRINT;STRING;READ;PLUS;<term>;MINUS;MULTIPLICATION;<factor>;DIVIDE;DIV;MOD;NOT;LEFT_PAREN;RIGHT_PAREN;FLOAT;TRUE;FALSE;<rel_op>;NOT_EQ;LESS;GREATER;LESS_EQ;GREATER_EQ
;;;R7;S11;;R7;;;;S60;S13;R7;;;;;;;;;S14;;;S15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;S61;;;S62;S63;S64;S65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;S66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;S16;;;;;;;;;;;;;;;;;;;;;;;;;;;S43;;;;S44;;S67;;;;;;;;;;S47;S48;;S49;;;;S50;S51;;S52;S53;S54;;;;;;
;;;;R10;R10;R10;R10;;;;;R10;R10;R10;R10;R10;R10;R10;R10;R10;;;;;;;;;;;;;;;R10;;;R10;;;R10;R10;R10;;R10;;;;;;;;;;;;;;;;;;;;
;;;;R11;R11;R11;;;;;;R11;R11;R11;R11;R11;R11;R11;R11;R11;;;;;;;;;;;;;;;R11;;;R11;;;R11;R11;R11;;R11;;;;;;;;;;;;;;;;;;;;
;;;;R14;R14;R14;;;;;;R14;R14;R14;R14;R14;R14;R14;R14;R14;;;;;;;;;;;;;;;R14;;;R14;;;R14;R14;R14;;R14;;;;;;;;;;;;;;;;;;;;
;;;;R15;R15;R15;;;;;;R15;R15;R15;R15;R15;R15;R15;R15;R15;;;;;;;;;;;;;;;R15;;;R15;;;R15;R15;R15;;R15;;;;;;;;;;;;;;;;;;;;
;;;;S16;;;;;;;;;;;;;;;;;;;;;;;;;;;S43;;;;S44;;S68;;;;;;;;;;S47;S48;;S49;;;;S50;S51;;S52;S53;S54;;;;;;
;;;;R45;R45;R45;;;;;;R45;;;R45;R45;R45;R45;R45;R45;;;;;R45;;;;;;R45;R45;;;R45;;R45;R45;;R45;;R45;R45;;R45;R45;R45;R45;R45;R45;R45;R45;R45;R45;R45;R45;R45;R45;R45;R45;R45;R45;R45;R45;R45
;;;;R41;R41;R41;;;;;;R41;;;R41;R41;R41;R41;R41;R41;;;;;R41;;;;;;R41;R41;;;R41;;R41;R41;;R41;;R41;R41;;R41;R41;R41;R41;R41;R41;R41;R41;R41;R41;R41;R41;R41;R41;R41;R41;R41;R41;R41;R41;R41
;;;;R50;R50;R50;;;;;;R50;;;R50;R50;R50;R50;R50;R50;;;;;S69;;;;;;;;;;R50;;;R50;;R50;;R50;R50;;R50;S70;;S71;;;;;;;;;;;;S72;S73;S74;S75;S76;S77
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S78;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;R35;R35;R35;;;;;;R35;;;R35;R35;R35;R35;R35;R35;;;;;R35;;;;;;R35;R35;;;R35;;R35;R35;;R35;;R35;R35;;R35;R35;R35;R35;S79;R35;S80;S81;S82;R35;R35;R35;R35;R35;R35;R35;R35;R35;R35;R35;R35
;;;;S16;;;;;;;;;;;;;;;;;;;;;;;;;;;S43;;;;S44;;;;;;;;;;;;;S48;;S83;;;;S50;S51;;S52;S53;S54;;;;;;
;;;;R40;R40;R40;;;;;;R40;;;R40;R40;R40;R40;R40;R40;;;;;R40;;;;;;R40;R40;;;R40;;R40;R40;;R40;;R40;R40;;R40;R40;R40;R40;R40;R40;R40;R40;R40;R40;R40;R40;R40;R40;R40;R40;R40;R40;R40;R40;R40
;;;;S16;;;;;;;;;;;;;;;;;;;;;;;;;;;S43;;;;S44;;;;;;;;;;;;;S48;;S84;;;;S50;S51;;S52;S53;S54;;;;;;
;;;;S16;;;;;;;;;;;;;;;;;;;;;;;;;;;S43;;;;S44;;S85;;;;;;;;;;S47;S48;;S49;;;;S50;S51;;S52;S53;S54;;;;;;
;;;;R46;R46;R46;;;;;;R46;;;R46;R46;R46;R46;R46;R46;;;;;R46;;;;;;R46;R46;;;R46;;R46;R46;;R46;;R46;R46;;R46;R46;R46;R46;R46;R46;R46;R46;R46;R46;R46;R46;R46;R46;R46;R46;R46;R46;R46;R46;R46
;;;;R47;R47;R47;;;;;;R47;;;R47;R47;R47;R47;R47;R47;;;;;R47;;;;;;R47;R47;;;R47;;R47;R47;;R47;;R47;R47;;R47;R47;R47;R47;R47;R47;R47;R47;R47;R47;R47;R47;R47;R47;R47;R47;R47;R47;R47;R47;R47
;;;;R48;R48;R48;;;;;;R48;;;R48;R48;R48;R48;R48;R48;;;;;R48;;;;;;R48;R48;;;R48;;R48;R48;;R48;;R48;R48;;R48;R48;R48;R48;R48;R48;R48;R48;R48;R48;R48;R48;R48;R48;R48;R48;R48;R48;R48;R48;R48
;;;;S16;S17;S18;;;;;;S8;;;S86;S22;S23;S24;S25;S26;;;;;;;;;;;;;;;S27;;;S28;;;;S29;S30;;S31;;;;;;;;;;;;;;;;;;;;
;;;;;R30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S70;;S71;;;;;;;;;;;;;;;;;
;;;;;R31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;R32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;R25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;R6;;;R6;;;;;;R6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;R18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;R20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;R21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;R22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;S88;;;S62;S63;S64;S65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S89;;;;;;;;;;;;;;S70;;S71;;;;;;;;;;;;;;;;;
;;;;;R26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S70;;S71;;;;;;;;;;;;;;;;;
;;;;R51;;;;;;;;;;;;;;;;;;;;;;;;;;;R51;;;;R51;;R51;;;;;;;;;;R51;R51;;R51;;;;R51;R51;;R51;R51;R51;;;;;;
;;;;S16;;;;;;;;;;;;;;;;;;;;;;;;;;;S43;;;;S44;;;;;;;;;;;;S90;S48;;S49;;;;S50;S51;;S52;S53;S54;;;;;;
;;;;S16;;;;;;;;;;;;;;;;;;;;;;;;;;;S43;;;;S44;;;;;;;;;;;;S91;S48;;S49;;;;S50;S51;;S52;S53;S54;;;;;;
;;;;S16;;;;;;;;;;;;;;;;;;;;;;;;;;;S43;;;;S44;;S92;;;;;;;;;;S47;S48;;S49;;;;S50;S51;;S52;S53;S54;;;;;;
;;;;R52;;;;;;;;;;;;;;;;;;;;;;;;;;;R52;;;;R52;;R52;;;;;;;;;;R52;R52;;R52;;;;R52;R52;;R52;R52;R52;;;;;;
;;;;R53;;;;;;;;;;;;;;;;;;;;;;;;;;;R53;;;;R53;;R53;;;;;;;;;;R53;R53;;R53;;;;R53;R53;;R53;R53;R53;;;;;;
;;;;R54;;;;;;;;;;;;;;;;;;;;;;;;;;;R54;;;;R54;;R54;;;;;;;;;;R54;R54;;R54;;;;R54;R54;;R54;R54;R54;;;;;;
;;;;R55;;;;;;;;;;;;;;;;;;;;;;;;;;;R55;;;;R55;;R55;;;;;;;;;;R55;R55;;R55;;;;R55;R55;;R55;R55;R55;;;;;;
;;;;R56;;;;;;;;;;;;;;;;;;;;;;;;;;;R56;;;;R56;;R56;;;;;;;;;;R56;R56;;R56;;;;R56;R56;;R56;R56;R56;;;;;;
;;;;S16;S17;S18;;;;;;S8;;;S93;S22;S23;S24;S25;S26;;;;;;;;;;;;;;;S27;;;S28;;;;S29;S30;;S31;;;;;;;;;;;;;;;;;;;;
;;;;S16;;;;;;;;;;;;;;;;;;;;;;;;;;;S43;;;;S44;;;;;;;;;;;;;S48;;S94;;;;S50;S51;;S52;S53;S54;;;;;;
;;;;S16;;;;;;;;;;;;;;;;;;;;;;;;;;;S43;;;;S44;;;;;;;;;;;;;S48;;S95;;;;S50;S51;;S52;S53;S54;;;;;;
;;;;S16;;;;;;;;;;;;;;;;;;;;;;;;;;;S43;;;;S44;;;;;;;;;;;;;S48;;S96;;;;S50;S51;;S52;S53;S54;;;;;;
;;;;S16;;;;;;;;;;;;;;;;;;;;;;;;;;;S43;;;;S44;;;;;;;;;;;;;S48;;S97;;;;S50;S51;;S52;S53;S54;;;;;;
;;;;R42;R42;R42;;;;;;R42;;;R42;R42;R42;R42;R42;R42;;;;;R42;;;;;;R42;R42;;;R42;;R42;R42;;R42;;R42;R42;;R42;R42;R42;R42;R42;R42;R42;R42;R42;R42;R42;R42;R42;R42;R42;R42;R42;R42;R42;R42;R42
;;;;R43;R43;R43;;;;;;R43;;;R43;R43;R43;R43;R43;R43;;;;;R43;;;;;;R43;R43;;;R43;;R43;R43;;R43;;R43;R43;;R43;R43;R43;R43;R43;R43;R43;R43;R43;R43;R43;R43;R43;R43;R43;R43;R43;R43;R43;R43;R43
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S70;;S71;;;;;;;;S98;;;;;;;;;
;;;;R29;R29;R29;;;;;;R29;R29;R29;R29;R29;R29;R29;R29;R29;;;;;;;;;;;;;;;R29;;;R29;;;R29;R29;R29;;R29;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;R19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;R58;R58;R58;;;;;;R58;;;R58;R58;R58;R58;R58;R58;;;;;R58;;;;;;R58;R58;;;R58;R58;R58;R58;;R58;;R58;R58;;R58;R58;R58;R58;R58;R58;R58;R58;R58;R58;R58;R58;R58;R58;R58;R58;R58;R58;R58;R58;R58
;;;;R33;R33;R33;;;;;;R33;;;R33;R33;R33;R33;R33;R33;;;;;R33;;;;;;R33;R33;;;R33;;R33;R33;;R33;;R33;R33;;R33;R33;R33;R33;S79;R33;S80;S81;S82;R33;R33;R33;R33;R33;R33;R33;R33;R33;R33;R33;R33
;;;;R34;R34;R34;;;;;;R34;;;R34;R34;R34;R34;R34;R34;;;;;R34;;;;;;R34;R34;;;R34;;R34;R34;;R34;;R34;R34;;R34;R34;R34;R34;S79;R34;S80;S81;S82;R34;R34;R34;R34;R34;R34;R34;R34;R34;R34;R34;R34
;;;;R49;R49;R49;;;;;;R49;;;R49;R49;R49;R49;R49;R49;;;;;;;;;;;;;;;R49;;;R49;;R49;;R49;R49;;R49;S70;;S71;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;S100;;;;;;;;;;;;;;;;;;;;;;;;;;;S101;;;;;;;;;;;;;;;;;;;;;;;;
;;;;R36;R36;R36;;;;;;R36;;;R36;R36;R36;R36;R36;R36;;;;;R36;;;;;;R36;R36;;;R36;;R36;R36;;R36;;R36;R36;;R36;R36;R36;R36;R36;R36;R36;R36;R36;R36;R36;R36;R36;R36;R36;R36;R36;R36;R36;R36;R36
;;;;R37;R37;R37;;;;;;R37;;;R37;R37;R37;R37;R37;R37;;;;;R37;;;;;;R37;R37;;;R37;;R37;R37;;R37;;R37;R37;;R37;R37;R37;R37;R37;R37;R37;R37;R37;R37;R37;R37;R37;R37;R37;R37;R37;R37;R37;R37;R37
;;;;R38;R38;R38;;;;;;R38;;;R38;R38;R38;R38;R38;R38;;;;;R38;;;;;;R38;R38;;;R38;;R38;R38;;R38;;R38;R38;;R38;R38;R38;R38;R38;R38;R38;R38;R38;R38;R38;R38;R38;R38;R38;R38;R38;R38;R38;R38;R38
;;;;R39;R39;R39;;;;;;R39;;;R39;R39;R39;R39;R39;R39;;;;;R39;;;;;;R39;R39;;;R39;;R39;R39;;R39;;R39;R39;;R39;R39;R39;R39;R39;R39;R39;R39;R39;R39;R39;R39;R39;R39;R39;R39;R39;R39;R39;R39;R39
;;;;R44;R44;R44;;;;;;R44;;;R44;R44;R44;R44;R44;R44;;;;;R44;;;;;;R44;R44;;;R44;;R44;R44;;R44;;R44;R44;;R44;R44;R44;R44;R44;R44;R44;R44;R44;R44;R44;R44;R44;R44;R44;R44;R44;R44;R44;R44;R44
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;R28;R28;R28;;;;;;R28;R28;R28;R28;R28;R28;R28;R28;R28;;;;;;;;;;;;;;;R28;;;R28;;;R28;R28;R28;;R28;;;;;;;;;;;;;;;;;;;;
;;;;S16;S17;S18;;;;;;S8;;;S103;S22;S23;S24;S25;S26;;;;;;;;;;;;;;;S27;;;S28;;;;S29;S30;;S31;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;S105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;S106;;;S62;S63;S64;S65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;R27;R27;R27;;;;;;R27;R27;R27;R27;R27;R27;R27;R27;R27;;;;;;;;;;;;;;;R27;;;R27;;;R27;R27;R27;;R27;;;;;;;;;;;;;;;;;;;;
;;;;;R23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
